timestamp_ms,ax,ay,az,gx,gy,gz,temp,pitch,roll
46741,-0.9707,-0.0537,-0.1606,-2.4885,1.2214,-1.1985,49.00,80.10,-161.51
47241,-0.9248,-0.0962,-0.1807,-2.4122,0.6336,-3.7252,48.86,77.52,-151.97
47741,-0.9189,-0.0566,-0.1663,-3.0458,3.0153,-0.7099,48.72,79.18,-161.19
48241,-0.9656,-0.0457,-0.1570,-3.1832,0.5420,1.0687,49.00,80.39,-163.78
48741,-0.9587,-0.0657,-0.1812,-3.7176,1.2519,1.3130,49.00,78.64,-160.07
49241,-0.9429,-0.0886,-0.1470,-1.7557,2.4046,-5.7176,48.72,79.68,-148.91
49741,-0.9624,-0.0464,-0.1594,-2.2519,1.1908,-1.2137,48.95,80.21,-163.78
50241,-0.9338,-0.0649,-0.1558,-2.1908,1.4885,-1.3740,48.72,79.76,-157.37
50741,-0.9844,-0.0754,-0.1575,-1.9389,-0.1374,-2.7252,48.95,79.94,-154.40
51241,-0.9365,-0.0544,-0.1765,-3.2214,0.6412,1.3664,48.81,78.84,-162.86
51741,-1.0007,-0.0334,-0.1624,-2.4962,1.1679,-2.5954,49.00,80.59,-168.36
52241,-0.9563,-0.0979,-0.1421,-2.3664,1.6870,-1.0687,48.72,79.77,-145.43
52741,-0.9768,-0.0623,-0.1604,-2.6489,-0.3511,1.2748,48.95,80.01,-158.79
53241,-0.9573,-0.0667,-0.1523,-1.9542,1.4427,-3.6107,48.86,80.15,-156.37
53741,-0.9871,-0.0535,-0.1719,-2.7786,0.5115,-1.2290,48.86,79.67,-162.72
54241,-0.9504,-0.0586,-0.1694,-2.0153,1.4733,-3.7405,49.19,79.32,-160.92
54741,-0.9512,-0.0635,-0.1584,-2.9084,0.3969,1.1756,48.81,79.83,-158.17
55241,-0.9441,-0.0691,-0.1572,-2.5878,1.0305,-0.7328,48.72,79.69,-156.28
55741,-0.9529,-0.0625,-0.1626,-2.4733,1.3206,-2.1221,48.95,79.64,-158.97
56241,-0.9636,-0.0393,-0.1589,-2.2824,1.3817,-1.6565,48.95,80.36,-166.11
56741,-0.9487,-0.0430,-0.1675,-3.1603,0.5344,-0.9847,49.05,79.67,-165.61
57241,-0.9460,-0.0735,-0.1570,-1.9847,1.4198,-3.5649,49.00,79.62,-154.91
57741,-0.9636,-0.0708,-0.1528,-2.4427,0.4809,0.2901,48.72,80.09,-155.14
58241,-0.9644,-0.0510,-0.1587,-2.6641,1.2443,-1.0305,48.67,80.19,-162.18
58741,-0.9639,-0.0740,-0.1653,-3.0305,1.2672,-0.1527,49.05,79.36,-155.89
59241,-0.6875,-0.4834,-0.5039,11.5267,-37.1603,54.4122,49.00,44.55,-136.19
59741,-0.9639,-0.0742,-0.1680,-2.5725,0.4809,-1.7099,49.05,79.21,-156.16
60241,-0.9600,-0.0430,-0.1626,-2.2748,0.9771,-2.2672,48.95,80.06,-165.20
60741,-0.9490,-0.0532,-0.1733,-2.4885,1.0305,-1.3588,48.81,79.18,-162.93
61241,-0.9351,-0.0215,-0.1829,-3.4351,2.3282,3.9542,49.19,78.86,-173.30
61741,-0.9521,-0.0676,-0.1499,-2.3206,1.1450,-1.8550,49.05,80.20,-155.72
62241,-0.9558,-0.0396,-0.1707,-2.5420,1.3817,-0.7710,48.95,79.61,-166.95
